ERPNumber,Bulk Edit Items,,,,,,,,,,
,Item Code,Item Name,Warehouse,Quantity,Valuation Rate,Amount,Current Qty,Current Valuation Rate,Current Amount,Quantity Difference,Amount Difference
,item_code,item_name,warehouse,qty,valuation_rate,amount,current_qty,current_valuation_rate,current_amount,quantity_difference,amount_difference
, , , , , , , , , , , 
,The CSV format is case sensitive,,,,,,,,,,
,Do not edit headers which are preset in the template,,,,,,,,,,
,------,,,,,,,,,,
200302-000699-00,DC-R40-ON300C(XH),DC-R40-ON300C(XH),Milpitas - B,0,1,,0,1,,,
200303-US0140-00,HC-K2-OD300L(I),HC-K2-OD300L(I),Milpitas - B,*10,1,,10,1,,,
200303-US0139-00,HC-K2-OMD300L(I),HC-K2-OMD300L(I),Milpitas - B,*5,1,,5,1,,,
200303-US0138-00,HC-K2-ON300L(I),HC-K2-ON300L(I),Milpitas - B,*30,1,,30,1,,,
200303-US0129-00,HC-R4-OD150L(I),HC-R4-OD150L(I),Milpitas - B,*10,1,,10,1,,,
200303-US0130-00,HC-R4-OMD150L(I),HC-R4-OMD150L(I),Milpitas - B,*8,1,,8,1,,,
200303-000084-00,HC-R-OD500L(XH),HC-R-OD500L(XH),Milpitas - B,*326,1,,326,1,,,
200303-000047-00,HC-R-ON150L,HC-R-ON150L,Milpitas - B,*88,1,,88,1,,,
200303-000093-00,HC-R-ON300L(XH),HC-R-ON300L(XH),Milpitas - B,*50,1,,50,1,,,
600006-000017-5000,HRU01-6800QP02A92,HRU01-6800QP02A92,Milpitas - B,0,1,,0,1,,,
600001-005241-5000,HRU01-6800QP03A92,HRU01-6800QP03A92,Milpitas - B,0,1,,0,1,,,
710001-000242-5000,IWH-080V08NZ,IWH-080V08NZ,Milpitas - B,*20,1,,20,1,,,
710001-000257-5000,IWH-080V08Z-Q,IWH-080V08Z-Q,Milpitas - B,*10,1,,10,1,,,
101813-US2100-00,IXD-360V03MDS,IXD-360V03MDS,Milpitas - B,*97,1,,97,1,,,
101813-US2099-00,IXD-360V03NS,IXD-360V03NS,Milpitas - B,*457,1,,0,1,,,
100608-US0578-00,JMP-4.3/10M-4.3/10ML1.6,JMP-4.3/10M-4.3/10ML1.6,Milpitas - B,*100,1,,100,1,,,
100608-US0500-00,JMP-MDM-MDM-L1.6,JMP-MDM-MDM-L1.6,Milpitas - B,*114,1,,114,1,,,
600001-004967-5000,LRU01-PSU-A92W300,LRU01-PSU-A92W300,Milpitas - B,*29,1,,29,1,,,
600003-000854-5000,mBDA-PMU-A92W300,mBDA-PMU-A92W300,Milpitas - B,*4,1,,7,1,,,
600003-000855-5000,mBDA-RACK-E01,mBDA-RACK-E01,Milpitas - B,*3,1,,6,1,,,
600003-001793-5000,mBDA-RF-19P33Q,mBDA-RF-19P33Q,Milpitas - B,*9,1,,10,1,,,
600003-001796-5000,mBDA-RF-7LP33Q,mBDA-RF-7LP33Q,Milpitas - B,*5,1,,4,1,,,
600003-001799-5000,mBDA-RF-7UP33Q,mBDA-RF-7UP33Q,Milpitas - B,*3,1,,3,1,,,
600003-001281-5000,mBDA-RF-80P33D,mBDA-RF-80P33D,Milpitas - B,0,1,,0,1,,,
600003-001802-5000,mBDA-RF-85P33Q,mBDA-RF-85P33Q,Milpitas - B,*10,1,,11,1,,,
600003-001805-5000,mBDA-RF-EAWSP33Q,mBDA-RF-EAWSP33Q,Milpitas - B,*14,1,,15,1,,,
200902-001693-80,mBDA-RK-3903MX,mBDA-RK-3903MX,Milpitas - B,*0,1,,0,1,,,
600001-005267-5000,MRU01-6800QP04Q,MRU01-6800QP04Q,Milpitas - B,0,1,,0,1,,,
101813-US2240-00,MT-DA-01,MT-DA-01,Milpitas - B,*324,1,,324,1,,,
600001-005041-5000,MU01-FOU-LD,MU01-FOU-LD,Milpitas - B,*24,1,,24,1,,,
600001-005076-5000,MU01-FOURK-E01,MU01-FOURK-E01,Milpitas - B,*7,1,,7,1,,,
600001-004959-5000,MU01-FOU-SABFOP6,MU01-FOU-SABFOP6,Milpitas - B,*1,1,,1,1,,,
600001-005042-5000,MU01-PSU-A92E01,MU01-PSU-A92E01,Milpitas - B,*9,1,,9,1,,,
600001-005012-5000,MU01-RACK-E02,MU01-RACK-E02,Milpitas - B,*9,1,,9,1,,,
600001-005254-5000,MU01-RFU-19B65Q,MU01-RFU-19B65Q,Milpitas - B,*9,1,,9,1,,,
600001-005255-5000,MU01-RFU-7LB181Q,MU01-RFU-7LB181Q,Milpitas - B,*4,1,,4,1,,,
600001-005256-5000,MU01-RFU-7UB11Q,MU01-RFU-7UB11Q,Milpitas - B,*5,1,,5,1,,,
600001-005257-5000,MU01-RFU-80B18Q,MU01-RFU-80B18Q,Milpitas - B,0,1,,0,1,,,
600001-005258-5000,MU01-RFU-85B25Q,MU01-RFU-85B25Q,Milpitas - B,*9,1,,9,1,,,
600001-005259-5000,MU01-RFU-EAWSB70Q,MU01-RFU-EAWSB70Q,Milpitas - B,*10,1,,10,1,,,
600001-005043-5000,MU01-RFU-LD,MU01-RFU-LD,Milpitas - B,*21,1,,21,1,,,
600001-005149-5000,OCU-RK-ACU,OCU-RK-ACU,Milpitas - B,*2,1,,2,1,,,
710003-001433-5000,ODP-065V11N,ODP-065V11N,Milpitas - B,*6,1,,14,1,,,
710002-000239-0000,OLP-065V10NMJ-50-ND,OLP-065V10NMJ-50-ND,Milpitas - B,0,1,,0,1,,,
200301-US0602-00,PS-E2-ON50M(XH),PS-E2-ON50M(XH),Milpitas - B,*0,1,,32,1,,,
200301-US0603-00,PS-E3-ON50M(XH),PS-E3-ON50M(XH),Milpitas - B,*39,1,,41,1,,,
200301-US0604-00,PS-E4-ON50M(XH),PS-E4-ON50M(XH),Milpitas - B,*39,1,,39,1,,,
200301-US0564-00,PS-FR2-OD300C(I),PS-FR2-OD300C(I),Milpitas - B,*18,1,,18,1,,,
200301-US0509-49,PS-FR2-OMD300C(I),PS-FR2-OMD300C(I),Milpitas - B,*4,1,,4,1,,,
200301-US0505-00,PS-FR2-ON300C(I),PS-FR2-ON300C(I),Milpitas - B,*0,1,,5,1,,,
200301-US0565-00,PS-FR3-OD300C(I),PS-FR3-OD300C(I),Milpitas - B,*20,1,,20,1,,,
200301-US0510-49,PS-FR3-OMD300C(I),PS-FR3-OMD300C(I),Milpitas - B,*16,1,,16,1,,,
200301-US0507-00,PS-FR3-ON300C(I),PS-FR3-ON300C(I),Milpitas - B,*20,1,,0,1,,,
200301-US0566-00,PS-FR4-OD300C(I),PS-FR4-OD300C(I),Milpitas - B,*20,1,,20,1,,,
200301-US0511-49,PS-FR4-OMD300C(I),PS-FR4-OMD300C(I),Milpitas - B,*21,1,,21,1,,,
200301-US0508-49,PS-FR4-ON300C(I),PS-FR4-ON300C(I),Milpitas - B,*21,1,,0,1,,,
200301-US0561-00,PS-H2-OD300C(I),PS-H2-OD300C(I),Milpitas - B,*25,1,,25,1,,,
200301-US0469-00,PS-H2-OMD300C(I),PS-H2-OMD300C(I),Milpitas - B,*8,1,,8,1,,,
200301-US0466-49,PS-H2-ON300C(I),PS-H2-ON300C(I),Milpitas - B,*41,1,,41,1,,,
200301-US0562-00,PS-H3-OD300C(I),PS-H3-OD300C(I),Milpitas - B,*25,1,,25,1,,,
200301-US0470-00,PS-H3-OMD300C(I),PS-H3-OMD300C(I),Milpitas - B,*22,1,,22,1,,,
200301-US0467-49,PS-H3-ON300C(I),PS-H3-ON300C(I),Milpitas - B,*40,1,,40,1,,,
200301-US0563-00,PS-H4-OD300C(I),PS-H4-OD300C(I),Milpitas - B,*20,1,,20,1,,,
200301-US0471-00,PS-H4-OMD300C(I),PS-H4-OMD300C(I),Milpitas - B,*22,1,,22,1,,,
200301-US0468-49,PS-H4-ON300C(I),PS-H4-ON300C(I),Milpitas - B,*32,1,,32,1,,,
200301-US0609-00,PS-K2-OMD50M(XH),PS-K2-OMD50M(XH),Milpitas - B,*86,1,,86,1,,,
200301-US0606-00,PS-K2-ON50M(XH),PS-K2-ON50M(XH),Milpitas - B,*15,1,,45,1,,,
200301-US0610-00,PS-K3-OMD50M(XH),PS-K3-OMD50M(XH),Milpitas - B,*98,1,,98,1,,,
200301-US0607-00,PS-K3-ON50M(XH),PS-K3-ON50M(XH),Milpitas - B,*34,1,,34,1,,,
200301-US0611-00,PS-K4-OMD50M(XH),PS-K4-OMD50M(XH),Milpitas - B,*12,1,,12,1,,,
200301-US0608-00,PS-K4-ON50M(XH),PS-K4-ON50M(XH),Milpitas - B,*25,1,,25,1,,,
200301-000146-80,PS-R2-OD500C(XH),PS-R2-OD500C(XH),Milpitas - B,*303,1,,303,1,,,
200301-000196-00,PS-R2-ON300C,PS-R2-ON300C,Milpitas - B,*308,1,,0,1,,,
200301-000356-00,PS-R2-ON500C(XH),PS-R2-ON500C(XH),Milpitas - B,*2,1,,2,1,,,
200301-000147-80,PS-R3-OD500C(XH),PS-R3-OD500C(XH),Milpitas - B,*231,1,,231,1,,,
200301-000197-00,PS-R3-ON300C,PS-R3-ON300C,Milpitas - B,*186,1,,0,1,,,
200301-000357-00,PS-R3-ON500C(XH),PS-R3-ON500C(XH),Milpitas - B,*0,1,,0,1,,,
200301-000433-00,PS-R3-ON50M(XH),PS-R3-ON50M(XH),Milpitas - B,*0,1,,-1,1,,,
200301-000252-80,PS-R4-OD500C(XH),PS-R4-OD500C(XH),Milpitas - B,*93,1,,93,1,,,
200301-000198-00,PS-R4-ON300C,PS-R4-ON300C,Milpitas - B,*188,1,,0,1,,,
200301-000358-00,PS-R4-ON500C(XH),PS-R4-ON500C(XH),Milpitas - B,0,1,,0,1,,,
200301-000434-00,PS-R4-ON50M(XH),PS-R4-ON50M(XH),Milpitas - B,*0,1,,0,1,,,
600007-000302-5000,RH7W22-D7848E4,RH7W22-D7848E4,Milpitas - B,*0,1,,5,1,,,
600007-000303-5000,RH7W22-D7848E8,RH7W22-D7848E8,Milpitas - B,*1,1,,1,1,,,
600007-000307-5000,RH7W22-D78ACE4,RH7W22-D78ACE4,Milpitas - B,0,1,,0,1,,,
600007-000308-5000,RH7W22-D78ACE8,RH7W22-D78ACE8,Milpitas - B,0,1,,0,1,,,
600007-000309-5000,RH7W22-D78B48E4,RH7W22-D78B48E4,Milpitas - B,*0,1,,0,1,,,
600007-000310-5000,RH7W22-D78B48E8,RH7W22-D78B48E8,Milpitas - B,0,1,,0,1,,,
600007-000311-5000,RH7W22-D78BACE4,RH7W22-D78BACE4,Milpitas - B,0,1,,0,1,,,
600007-000312-5000,RH7W22-D78BACE8,RH7W22-D78BACE8,Milpitas - B,0,1,,0,1,,,
600007-000313-5000,RH7W22-L783233,RH7W22-L783233,Milpitas - B,0,1,,0,1,,,
600007-000314-5000,RH7W22-L78B333,RH7W22-L78B333,Milpitas - B,0,1,,0,1,,,
600007-000304-5000,RH7W22-R073348,RH7W22-R073348,Milpitas - B,*5,1,,7,1,,,
600007-000315-5000,RH7W22-R0733AC,RH7W22-R0733AC,Milpitas - B,0,1,,0,1,,,
600007-000316-5000,RH7W22-R07B3348,RH7W22-R07B3348,Milpitas - B,0,1,,0,1,,,
600007-000317-5000,RH7W22-R07B33AC,RH7W22-R07B33AC,Milpitas - B,0,1,,0,1,,,
600007-000305-5000,RH7W22-R083348,RH7W22-R083348,Milpitas - B,*9,1,,11,1,,,
600007-000318-5000,RH7W22-R0833AC,RH7W22-R0833AC,Milpitas - B,0,1,,0,1,,,
600007-000319-5000,RH7W22-R08B3348,RH7W22-R08B3348,Milpitas - B,*0,1,,0,1,,,
600007-000320-5000,RH7W22-R08B33AC,RH7W22-R08B33AC,Milpitas - B,0,1,,0,1,,,
600007-000306-5000,RH7W22-R783348,RH7W22-R783348,Milpitas - B,*0,1,,2,1,,,
600007-000321-5000,RH7W22-R7833AC,RH7W22-R7833AC,Milpitas - B,0,1,,0,1,,,
600007-000322-5000,RH7W22-R78B3348,RH7W22-R78B3348,Milpitas - B,0,1,,0,1,,,
600007-000323-5000,RH7W22-R78B33AC,RH7W22-R78B33AC,Milpitas - B,0,1,,0,1,,,
600003-002004-5000,RX7W22-07322748,RX7W22-07322748,Milpitas - B,0,1,,0,1,,,
600003-002006-5000,RX7W22-073227AC,RX7W22-073227AC,Milpitas - B,0,1,,0,1,,,
600003-001847-5000,RX7W22-07AA3348,RX7W22-07AA3348,Milpitas - B,*0,1,,3,1,,,
600003-001848-5000,RX7W22-07AA33AC,RX7W22-07AA33AC,Milpitas - B,*0,1,,0,1,,,
600007-000278-5000,RX7W22-07B33348,RX7W22-07B33348,Milpitas - B,*0,1,,1,1,,,
600007-000281-5000,RX7W22-07B333AC,RX7W22-07B333AC,Milpitas - B,*2,1,,4,1,,,
600003-002008-5000,RX7W22-08322748,RX7W22-08322748,Milpitas - B,*0,1,,10,1,,,
600003-002010-5000,RX7W22-083227AC,RX7W22-083227AC,Milpitas - B,*5,1,,10,1,,,
600003-001849-5000,RX7W22-08AA3348,RX7W22-08AA3348,Milpitas - B,*3,1,,8,1,,,
